--------------------
BDMEP - INMET
--------------------
Estação           : ITUIUTABA - MG (OMM: 83521)
Latitude  (graus) : -18.95
Longitude (graus) : -49.52
Altitude  (metros): 560.00
Estação Operante
Inicio de operação: 16/11/1979
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83521;31/01/2000;0000;325.8;31.667742;21;77.306452;
83521;29/02/2000;0000;285.7;31.255172;20.648276;78.698276;
83521;31/03/2000;0000;108.3;30.729032;20.025806;79.274194;
83521;30/04/2000;0000;36.6;31.473333;16.72;69.658333;
83521;31/05/2000;0000;0.8;29.677419;12.76129;65.008065;
83521;30/06/2000;0000;0;30.386667;11.636667;59.75;
83521;31/07/2000;0000;12.2;28.929032;9.929032;57.048387;
83521;31/08/2000;0000;8.4;31.174194;13.806452;47.701613;
83521;30/09/2000;0000;78;30.853333;17.153333;62.175;
83521;31/10/2000;0000;63.3;35.393548;19.245161;48.822581;
83521;30/11/2000;0000;226.7;30.833333;18.66;72.658333;
83521;31/12/2000;0000;344;31.058065;20.425806;75.685484;
83521;31/01/2001;0000;258.4;31.758065;19.86129;74.153226;
83521;28/02/2001;0000;39.4;33.15;20.564286;70.035714;
83521;31/03/2001;0000;213.5;31.483871;20.026667;75.467742;
83521;30/04/2001;0000;59.4;32.14;19.12;69.675;
83521;31/05/2001;0000;136.4;28.948387;14.516129;70.209677;
83521;30/06/2001;0000;10;28.4;13.553333;69.733333;
83521;31/07/2001;0000;0;30.832258;13.574194;58.758065;
83521;31/08/2001;0000;1.6;31.622581;14.348387;50.129032;
83521;30/09/2001;0000;38.6;33.666667;17.1;53.191667;
83521;31/10/2001;0000;220.8;32.593548;17.954839;65.556452;
83521;30/11/2001;0000;162.8;32.526667;20.14;74.316667;
83521;31/12/2001;0000;195;30.993548;19.43871;77.532258;
83521;31/01/2002;0000;179.8;;19.793333;76.040323;
83521;28/02/2002;0000;359.4;;19.585714;82.848214;
83521;31/03/2002;0000;113.1;;19.03871;74.008065;
83521;30/04/2002;0000;28;;17.286667;65.216667;
83521;31/05/2002;0000;0;;;;
83521;30/06/2002;0000;0;;;;
83521;31/07/2002;0000;0;;;;
83521;31/08/2002;0000;0;;;;
83521;30/09/2002;0000;0;;;;
